Date,Apple,Amazon,Msft,Ibm,Spx
10/11/2013,0.65%,1.87%,1.10%,0.75%,0.63%
10/14/2013,0.66%,-0.06%,0.94%,0.44%,0.41%
10/15/2013,0.53%,-1.38%,0.12%,-1.24%,-0.71%
10/16/2013,0.49%,1.33%,0.43%,1.12%,1.38%
10/17/2013,0.68%,0.09%,0.81%,-6.37%,0.67%
10/18/2013,0.87%,5.84%,0.11%,-0.60%,0.65%
10/21/2013,2.45%,-0.76%,0.09%,-0.53%,0.01%
10/22/2013,-0.29%,1.87%,-1.17%,1.22%,0.57%
10/23/2013,0.98%,-1.74%,-2.37%,0.46%,-0.47%
10/24/2013,1.32%,1.67%,-0.12%,1.15%,0.33%
10/25/2013,-1.12%,9.39%,5.96%,-0.53%,0.44%
10/28/2013,0.74%,-1.44%,-0.45%,0.28%,0.13%
10/29/2013,-2.49%,1.27%,-0.14%,2.69%,0.56%
10/30/2013,1.59%,-0.45%,0.06%,-1.08%,-0.49%
10/31/2013,-0.42%,0.82%,-0.38%,-0.52%,-0.38%
11/1/2013,-0.51%,-1.38%,0.34%,0.01%,0.29%
11/4/2013,1.29%,-0.07%,1.17%,0.58%,0.36%
11/5/2013,-0.25%,0.04%,1.95%,-1.34%,-0.28%
11/6/2013,-0.86%,-0.76%,4.20%,0.75%,0.43%
11/7/2013,-1.62%,-3.54%,-1.78%,0.45%,-1.32%
11/8/2013,1.57%,1.96%,0.75%,-0.01%,1.34%
11/11/2013,-0.29%,1.16%,-0.50%,1.61%,0.07%
11/12/2013,0.19%,-1.37%,-0.61%,0.10%,-0.24%
11/13/2013,0.12%,1.91%,2.13%,0.26%,0.81%
11/14/2013,1.45%,3.14%,-0.35%,-0.73%,0.48%
11/15/2013,-0.60%,0.48%,-0.47%,0.54%,0.42%
11/18/2013,-1.21%,-0.81%,-1.69%,0.70%,-0.37%
11/19/2013,0.18%,-0.34%,-1.24%,0.42%,-0.20%
11/20/2013,-0.88%,-0.65%,0.93%,-0.03%,-0.36%
11/21/2013,1.19%,1.75%,0.86%,-0.57%,0.81%
11/22/2013,-0.26%,0.92%,0.45%,-1.54%,0.50%
11/25/2013,0.76%,1.16%,0.19%,-1.30%,-0.13%
11/26/2013,1.84%,1.26%,-0.77%,-0.91%,0.01%
11/27/2013,2.35%,1.40%,0.67%,0.94%,0.25%
11/29/2013,1.85%,1.79%,1.41%,0.40%,-0.08%
12/2/2013,-0.87%,-0.34%,0.84%,-1.22%,-0.27%
12/3/2013,2.74%,-1.95%,-0.36%,-0.79%,-0.32%
12/4/2013,-0.23%,0.34%,1.64%,-0.19%,-0.13%
12/5/2013,0.51%,-0.38%,-2.41%,0.19%,-0.43%
12/6/2013,-1.39%,0.64%,0.95%,0.90%,1.12%
12/9/2013,1.14%,-0.53%,0.90%,-0.12%,0.18%
12/10/2013,-0.16%,0.75%,-1.54%,-0.19%,-0.32%
12/11/2013,-0.74%,-1.44%,-1.31%,-1.08%,-1.13%
12/12/2013,-0.15%,-0.25%,-1.04%,-1.04%,-0.38%
12/13/2013,-1.09%,0.78%,-1.42%,-0.33%,-0.01%
12/16/2013,0.55%,1.23%,0.53%,2.92%,0.63%
12/17/2013,-0.45%,-0.34%,-0.99%,-1.18%,-0.31%
12/18/2013,-0.76%,2.14%,0.16%,1.67%,1.66%
12/19/2013,-1.15%,-0.19%,-0.90%,0.85%,-0.06%
12/20/2013,0.84%,1.77%,1.52%,-0.11%,0.48%
12/23/2013,3.84%,0.18%,-0.49%,1.23%,0.53%
12/24/2013,-0.42%,-0.92%,1.26%,0.54%,0.29%
12/26/2013,-0.66%,1.30%,0.97%,1.16%,0.47%
12/27/2013,-0.68%,-1.56%,-0.40%,-0.15%,-0.03%
12/30/2013,-0.99%,-1.18%,0.00%,0.72%,-0.02%
12/31/2013,1.17%,1.38%,0.32%,0.62%,0.40%
1/2/2014,-1.41%,-0.21%,-0.67%,-1.09%,-0.89%
1/3/2014,-2.20%,-0.38%,-0.67%,0.60%,-0.03%
1/6/2014,0.55%,-0.71%,-2.11%,-0.34%,-0.25%
1/7/2014,-0.72%,1.12%,0.77%,1.99%,0.61%
1/8/2014,0.63%,0.98%,-1.79%,-0.92%,-0.02%
1/9/2014,-1.28%,-0.23%,-0.64%,-0.31%,0.03%
1/10/2014,-0.67%,-0.84%,1.44%,-0.06%,0.23%
1/13/2014,0.52%,-1.68%,-2.94%,-1.66%,-1.26%
1/14/2014,1.99%,1.68%,2.29%,0.96%,1.08%
1/15/2014,2.01%,-0.42%,2.74%,0.98%,0.52%
1/16/2014,-0.56%,-0.02%,0.35%,0.54%,-0.13%
1/17/2014,-2.45%,0.96%,-1.38%,0.70%,-0.39%
1/21/2014,1.55%,1.86%,-0.58%,-0.87%,0.28%
1/22/2014,0.44%,-0.62%,-0.66%,-3.28%,0.06%
1/23/2014,0.85%,-1.15%,0.35%,0.26%,-0.89%
1/24/2014,-1.82%,-3.07%,2.08%,-1.69%,-2.09%
1/27/2014,0.81%,-0.34%,-2.11%,-0.97%,-0.49%
1/28/2014,-7.99%,2.11%,0.67%,-0.59%,0.61%
1/29/2014,-1.14%,-2.59%,1.08%,-0.25%,-1.02%
1/30/2014,-0.19%,4.90%,0.55%,0.54%,1.13%
1/31/2014,0.16%,-11.00%,2.66%,-0.38%,-0.65%
2/3/2014,0.19%,-3.50%,-3.59%,-2.14%,-2.28%
2/4/2014,1.45%,0.52%,-0.36%,-0.03%,0.76%
2/5/2014,0.75%,-0.43%,-1.46%,0.81%,-0.20%
2/6/2014,-0.02%,2.35%,1.01%,1.06%,1.24%
2/7/2014,1.40%,1.83%,1.05%,1.48%,1.33%
2/10/2014,1.79%,-0.06%,0.66%,-0.06%,0.16%
2/11/2014,1.32%,0.25%,1.02%,1.45%,1.11%
2/12/2014,-0.01%,-3.47%,0.79%,0.30%,-0.03%
